X,Y
443,32.5833
444,33.2917
445,31.9167
446,28.6875
447,34.1250
448,39.6667
449,42.7917
450,47.1250
451,49.7292
452,48.9167
453,46.6875
454,45.5833
455,44.1458
456,41.7708
457,38.9167
458,37.5833
459,37.6042
460,37.6042
461,37.8958
462,38.1250
463,37.5417
464,37.0833
465,36.2083
466,35.7708
467,34.8333
468,34.0208
469,32.8750
470,32.9792
471,32.7500
472,32.1250
473,31.9375
474,32.1042
475,32.5000
476,31.6875
477,30.0208
478,34.5833
479,40.5417
480,46.3958
481,46.1042
482,44.8750
483,43.6458
484,41.5208
485,38.9375
486,37.2292
487,36.8333
488,36.2708
489,35.0417
490,35.3750
491,35.7292
492,35.9375
493,34.9583
494,34.9792
495,34.0000
496,33.3542
497,32.0833
498,31.6042
499,31.4375
500,31.7083
501,31.6250
502,31.3333
503,30.1042
504,30.9792
505,36.3958
506,42.1458
507,44.1458
508,43.2083
509,40.6250
510,38.3958
511,36.5625
512,36.1875
513,35.0625
514,34.7292
515,34.2708
516,34.5833
517,33.8125
518,33.6875
519,32.9167
520,32.5208
521,31.5625
522,31.6667
523,31.4375
524,31.3125
525,30.7500
526,29.9792
527,29.1250
528,31.7708
529,36.7708
530,41.2292
531,41.8750
532,40.5000
533,37.0417
534,35.5625
535,35.2708
536,34.5833
537,33.0625
538,32.8542
539,32.7708
540,33.1875
541,32.5625
542,32.6042
543,31.8333
544,31.0208
545,30.4375
546,30.5417
547,30.4167
